detector,attack,category,image,logit,prob,ap,mim
WaveRep,orig,samecat,000000000030.png,7.625,0.99951171875,0.6570536320927381,0.8783251643180847
WaveRep,fgsm,samecat,000000000030.png,-6.98046875,0.0009288787841796,0.7182500606164803,0.8011888861656189
WaveRep,orig,diffcat,000000000030.png,9.8984375,1.0,0.7859937594469492,0.9272603988647461
WaveRep,fgsm,diffcat,000000000030.png,-6.2890625,0.0018529891967773,0.7414071376520543,0.7477614879608154
WaveRep,orig,samecat,000000000042.png,7.30078125,0.99951171875,0.44104316798291826,0.43251144886016846
WaveRep,fgsm,samecat,000000000042.png,-9.609375,6.711483001708984e-05,0.32180318878754316,0.3197759985923767
WaveRep,orig,diffcat,000000000042.png,7.765625,0.99951171875,0.5136494256338929,0.5201455354690552
WaveRep,fgsm,diffcat,000000000042.png,-9.828125,5.3882598876953125e-05,0.5381032464144478,0.5476809144020081
WaveRep,orig,samecat,000000000071.png,-0.39208984375,0.4033203125,0.09514798092431442,0.0002726141829043627
WaveRep,fgsm,samecat,000000000071.png,-8.7265625,0.0001622438430786,0.18454573738342986,0.13819503784179688
WaveRep,orig,diffcat,000000000071.png,0.86767578125,0.7041015625,0.2970512688590646,0.2450438141822815
WaveRep,fgsm,diffcat,000000000071.png,-9.0,0.000123381614685,0.4213161922643289,0.3913547992706299
WaveRep,orig,samecat,000000000072.png,2.626953125,0.9326171875,0.3429006866194426,0.38108932971954346
WaveRep,fgsm,samecat,000000000072.png,-8.5,0.0002033710479736,0.33235755913714243,0.37061282992362976
WaveRep,orig,diffcat,000000000072.png,5.3828125,0.99560546875,0.6052320279158846,0.63676518201828
WaveRep,fgsm,diffcat,000000000072.png,-9.4375,7.969141006469727e-05,0.5816585899031996,0.5853913426399231
WaveRep,orig,samecat,000000000073.png,-1.533203125,0.177490234375,0.1472421822537294,0.0981703698635101
WaveRep,fgsm,samecat,000000000073.png,-8.8125,0.0001488924026489,0.2328623135608535,0.1062666997313499
WaveRep,orig,diffcat,000000000073.png,-1.564453125,0.1729736328125,0.519957308307699,0.7015537619590759
WaveRep,fgsm,diffcat,000000000073.png,-8.859375,0.0001419782638549,0.4013563303424312,0.2157090455293655
WaveRep,orig,samecat,000000000089.png,1.375,0.79833984375,0.6658391788644601,0.7278384566307068
WaveRep,fgsm,samecat,000000000089.png,-7.39453125,0.0006141662597656,0.5959302171505049,0.6154456734657288
WaveRep,orig,diffcat,000000000089.png,0.80029296875,0.68994140625,0.6773788853137114,0.7280172109603882
WaveRep,fgsm,diffcat,000000000089.png,-8.1953125,0.0002758502960205,0.5214825188444066,0.4750458002090454
WaveRep,orig,samecat,000000000092.png,9.265625,1.0,0.455729311472603,0.4359939694404602
WaveRep,fgsm,samecat,000000000092.png,-8.3671875,0.0002323389053344,0.5647760269972054,0.5431642532348633
WaveRep,orig,diffcat,000000000092.png,10.0546875,1.0,0.7748568089000086,0.8282815217971802
WaveRep,fgsm,diffcat,000000000092.png,-5.4453125,0.0042991638183593,0.7951296685492399,0.8184250593185425
WaveRep,orig,samecat,000000000113.png,0.87353515625,0.70556640625,0.46567271916803,0.4353480935096741
WaveRep,fgsm,samecat,000000000113.png,-8.625,0.0001795291900634,0.4503912559754937,0.2567692697048187
WaveRep,orig,diffcat,000000000113.png,0.043792724609375,0.5107421875,0.2596697366279607,0.2027611881494522
WaveRep,fgsm,diffcat,000000000113.png,-8.625,0.0001795291900634,0.1923729686436774,0.1420545279979705
WaveRep,orig,samecat,000000000127.png,1.03515625,0.73779296875,0.4612725849443335,0.504505455493927
WaveRep,fgsm,samecat,000000000127.png,-8.1484375,0.0002892017364501,0.6246238914272068,0.5410985946655273
WaveRep,orig,diffcat,000000000127.png,4.265625,0.986328125,0.8370987017896655,0.9274261593818665
WaveRep,fgsm,diffcat,000000000127.png,-7.65234375,0.0004746913909912,0.7346179319727798,0.7649208903312683
WaveRep,orig,samecat,000000000133.png,3.939453125,0.98095703125,0.820145647071896,0.931647002696991
WaveRep,fgsm,samecat,000000000133.png,-6.8203125,0.0010900497436523,0.7334279982698512,0.6517288088798523
WaveRep,orig,diffcat,000000000133.png,10.0234375,1.0,0.9321233232917234,0.9194082617759703
WaveRep,fgsm,diffcat,000000000133.png,-5.59375,0.0037078857421875,0.9347520576395943,0.9326912760734558
WaveRep,orig,samecat,000000000136.png,1.7421875,0.85107421875,0.521094994365157,0.5194283723831177
WaveRep,fgsm,samecat,000000000136.png,-9.25,9.608268737792967e-05,0.4434840813092516,0.3631408512592315
WaveRep,orig,diffcat,000000000136.png,1.642578125,0.837890625,0.8071627251246343,0.8211278319358826
WaveRep,fgsm,diffcat,000000000136.png,-8.2265625,0.0002672672271728,0.7270239348295741,0.6584678292274475
WaveRep,orig,samecat,000000000151.png,5.19140625,0.99462890625,0.3106914081781455,0.3165763914585113
WaveRep,fgsm,samecat,000000000151.png,-7.5859375,0.0005073547363281,0.3024396304541175,0.2638294398784637
WaveRep,orig,diffcat,000000000151.png,6.453125,0.99853515625,0.671354523915161,0.7347747683525085
WaveRep,fgsm,diffcat,000000000151.png,-7.86328125,0.0003845691680908,0.7599987624353375,0.7442793250083923
WaveRep,orig,samecat,000000000165.png,1.67578125,0.84228515625,0.4576088185772016,0.3922775685787201
WaveRep,fgsm,samecat,000000000165.png,-9.1640625,0.0001047253608703,0.3989861016845556,0.3957255184650421
WaveRep,orig,diffcat,000000000165.png,5.6015625,0.99609375,0.7733963287569895,0.9073362350463868
WaveRep,fgsm,diffcat,000000000165.png,-8.8046875,0.0001499652862548,0.7001503667636427,0.6555960178375244
WaveRep,orig,samecat,000000000194.png,8.7421875,1.0,0.8513542390138982,0.83864426612854
WaveRep,fgsm,samecat,000000000194.png,-4.38671875,0.0122909545898437,0.7904090280171264,0.7533522844314575
WaveRep,orig,diffcat,000000000194.png,9.203125,1.0,0.8978090581491049,0.927429735660553
WaveRep,fgsm,diffcat,000000000194.png,-4.8515625,0.0077552795410156,0.8679937492721153,0.8652340769767761
WaveRep,orig,samecat,000000000196.png,6.83984375,0.9990234375,0.8671160683391246,0.9188214540481568
WaveRep,fgsm,samecat,000000000196.png,-8.0703125,0.0003125667572021,0.8935680534172676,0.9419565200805664
WaveRep,orig,diffcat,000000000196.png,9.7421875,1.0,0.966364168276093,0.998515009880066
WaveRep,fgsm,diffcat,000000000196.png,-7.98046875,0.0003418922424316,0.9672486340983664,0.970652163028717
WaveRep,orig,samecat,000000000208.png,2.7890625,0.94189453125,0.6770851867476335,0.779218316078186
WaveRep,fgsm,samecat,000000000208.png,-8.5625,0.0001910924911499,0.584929142647027,0.5684666633605957
WaveRep,orig,diffcat,000000000208.png,9.7890625,1.0,0.9381642882689412,0.9640792608261108
WaveRep,fgsm,diffcat,000000000208.png,-6.93359375,0.0009737014770507,0.9171094258220291,0.9145639538764954
WaveRep,orig,samecat,000000000241.png,-1.310546875,0.21240234375,0.4492639608311075,0.432667464017868
WaveRep,fgsm,samecat,000000000241.png,-8.7265625,0.0001622438430786,0.4149046628293636,0.3534108996391296
WaveRep,orig,diffcat,000000000241.png,-0.2247314453125,0.444091796875,0.506725942271991,0.5821865797042847
WaveRep,fgsm,diffcat,000000000241.png,-9.09375,0.0001123547554016,0.4448897289098742,0.4698275923728943
WaveRep,orig,samecat,000000000247.png,4.91796875,0.99267578125,0.5856125862180228,0.7133072018623352
WaveRep,fgsm,samecat,000000000247.png,-8.171875,0.0002825260162353,0.7132420251738539,0.7163386344909668
WaveRep,orig,diffcat,000000000247.png,3.943359375,0.98095703125,0.9871586296872488,0.9950000643730164
WaveRep,fgsm,diffcat,000000000247.png,-7.06640625,0.0008525848388671,0.973828416113728,0.9771987199783324
WaveRep,orig,samecat,000000000283.png,0.63671875,0.65380859375,0.6122575915916123,0.66512131690979
WaveRep,fgsm,samecat,000000000283.png,-7.8671875,0.0003829002380371,0.6293072126285609,0.6110917925834656
WaveRep,orig,diffcat,000000000283.png,8.9140625,1.0,0.8942693011205818,0.9664523601531982
WaveRep,fgsm,diffcat,000000000283.png,-8.0703125,0.0003125667572021,0.9058280668725848,0.9252570271492004
WaveRep,orig,samecat,000000000294.png,-0.4521484375,0.388916015625,0.3713332863874163,0.5905564427375793
WaveRep,fgsm,samecat,000000000294.png,-8.328125,0.0002415180206298,0.3868550966501892,0.4014139175415039
WaveRep,orig,diffcat,000000000294.png,2.71484375,0.93798828125,0.6722413815432208,0.6569448113441467
WaveRep,fgsm,diffcat,000000000294.png,-8.40625,0.0002233982086181,0.7544810659254153,0.7322671413421631
WaveRep,orig,samecat,000000000308.png,0.0057144165039062,0.50146484375,0.2507896462871086,0.2047000378370285
WaveRep,fgsm,samecat,000000000308.png,-8.484375,0.0002065896987915,0.3807205906743871,0.3049489259719848
WaveRep,orig,diffcat,000000000308.png,-1.4072265625,0.1966552734375,0.2664474578903111,0.1711322665214538
WaveRep,fgsm,diffcat,000000000308.png,-8.953125,0.0001293420791625,0.2856398322577163,0.2566391825675964
WaveRep,orig,samecat,000000000321.png,-0.135009765625,0.46630859375,0.3786555762518203,0.4149436950683594
WaveRep,fgsm,samecat,000000000321.png,-9.2265625,9.840726852416992e-05,0.1982250106083092,0.1750777512788772
WaveRep,orig,diffcat,000000000321.png,-0.53857421875,0.368408203125,0.7335275439636182,0.5980995297431946
WaveRep,fgsm,diffcat,000000000321.png,-9.3359375,8.821487426757812e-05,0.7426873156776164,0.5826000571250916
WaveRep,orig,samecat,000000000328.png,3.189453125,0.96044921875,0.4113042364340626,0.3855813145637512
WaveRep,fgsm,samecat,000000000328.png,-9.4453125,7.903575897216797e-05,0.2781739343488173,0.2567233443260193
WaveRep,orig,diffcat,000000000328.png,2.25,0.90478515625,0.4911023708560221,0.5319358706474304
WaveRep,fgsm,diffcat,000000000328.png,-8.0703125,0.0003125667572021,0.4582196705724207,0.3471332192420959
WaveRep,orig,samecat,000000000332.png,0.48095703125,0.6181640625,0.2529755714386155,0.2576611638069153
WaveRep,fgsm,samecat,000000000332.png,-8.671875,0.0001713037490844,0.2118588349645643,0.2183957397937774
WaveRep,orig,diffcat,000000000332.png,1.5419921875,0.82373046875,0.403380393688625,0.4429682195186615
WaveRep,fgsm,diffcat,000000000332.png,-8.3515625,0.0002359151840209,0.3855693516055115,0.3595228195190429
WaveRep,orig,samecat,000000000349.png,5.65234375,0.99658203125,0.6538098388251203,0.7457491755485535
WaveRep,fgsm,samecat,000000000349.png,-7.33984375,0.0006484985351562,0.6616171247128824,0.583125650882721
WaveRep,orig,diffcat,000000000349.png,6.42578125,0.99853515625,0.6326811315173743,0.7411947250366211
WaveRep,fgsm,diffcat,000000000349.png,-6.6484375,0.0012941360473632,0.6774381147168643,0.7464167475700378
WaveRep,orig,samecat,000000000370.png,6.328125,0.998046875,0.8328732985821546,0.98138827085495
WaveRep,fgsm,samecat,000000000370.png,-8.34375,0.0002378225326538,0.8202185314524394,0.8568810224533081
WaveRep,orig,diffcat,000000000370.png,2.185546875,0.89892578125,0.7229676991907943,0.8073017597198486
WaveRep,fgsm,diffcat,000000000370.png,-7.7890625,0.0004141330718994,0.692844238687973,0.7634772062301636
WaveRep,orig,samecat,000000000387.png,6.5,0.99853515625,0.5697827385329699,0.6058973073959351
WaveRep,fgsm,samecat,000000000387.png,-8.4765625,0.0002082586288452,0.830831928149056,0.6148580312728882
WaveRep,orig,diffcat,000000000387.png,4.6171875,0.990234375,0.5677626279880521,0.4482956230640411
WaveRep,fgsm,diffcat,000000000387.png,-7.98046875,0.0003418922424316,0.5142908643267255,0.3327937722206116
WaveRep,orig,samecat,000000000389.png,2.921875,0.94873046875,0.6859038058094306,0.8155540823936462
WaveRep,fgsm,samecat,000000000389.png,-8.5546875,0.000192642211914,0.753596651366859,0.7778392434120178
WaveRep,orig,diffcat,000000000389.png,8.4453125,1.0,0.7168581873132194,0.6943395137786865
